,trial_id,supposed_answer_transcript,answer_files,answer_textgrid,answer_downsampled
664,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A21P1T8EW4NHOU_prosody_study_exp7_01_20_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A21P1T8EW4NHOU_prosody_study_exp7_01_20_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A21P1T8EW4NHOU_prosody_study_exp7_01_20_2020_trial_02.wav
457,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1SLJKNSNHOJRN_prosody_study_exp7_01_20_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A1SLJKNSNHOJRN_prosody_study_exp7_01_20_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A1SLJKNSNHOJRN_prosody_study_exp7_01_20_2020_trial_02.wav
658,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A3AHCT6Q7A3Q23_prosody_study_exp7_01_20_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A3AHCT6Q7A3Q23_prosody_study_exp7_01_20_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A3AHCT6Q7A3Q23_prosody_study_exp7_01_20_2020_trial_02.wav
197,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/AC5UD8N187QD6_prosody_study_exp7_01_20_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/AC5UD8N187QD6_prosody_study_exp7_01_20_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/AC5UD8N187QD6_prosody_study_exp7_01_20_2020_trial_02.wav
222,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A2FARB7LA24AU8_prosody_study_exp7_01_20_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A2FARB7LA24AU8_prosody_study_exp7_01_20_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A2FARB7LA24AU8_prosody_study_exp7_01_20_2020_trial_02.wav
437,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1Z8AOIDT5IV43_prosody_study_exp7_01_20_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A1Z8AOIDT5IV43_prosody_study_exp7_01_20_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A1Z8AOIDT5IV43_prosody_study_exp7_01_20_2020_trial_02.wav
306,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A2JCK494NV7TFX_prosody_study_exp7_01_20_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A2JCK494NV7TFX_prosody_study_exp7_01_20_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A2JCK494NV7TFX_prosody_study_exp7_01_20_2020_trial_02.wav
51,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/AFM65NU0UXIGP_prosody_study_exp7_01_20_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/AFM65NU0UXIGP_prosody_study_exp7_01_20_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/AFM65NU0UXIGP_prosody_study_exp7_01_20_2020_trial_02.wav
446,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1PTH9KTRO06EG_prosody_study_exp7_01_20_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A1PTH9KTRO06EG_prosody_study_exp7_01_20_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A1PTH9KTRO06EG_prosody_study_exp7_01_20_2020_trial_02.wav
2,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A3GLUDQZGEJL5G_prosody_study_exp7_01_20_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A3GLUDQZGEJL5G_prosody_study_exp7_01_20_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A3GLUDQZGEJL5G_prosody_study_exp7_01_20_2020_trial_02.wav
26,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1TP0SGMUSJ34B_prosody_study_exp7_01_20_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A1TP0SGMUSJ34B_prosody_study_exp7_01_20_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A1TP0SGMUSJ34B_prosody_study_exp7_01_20_2020_trial_02.wav
29,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A2NGMLBFZ3YQP5_prosody_study_exp7_01_20_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A2NGMLBFZ3YQP5_prosody_study_exp7_01_20_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A2NGMLBFZ3YQP5_prosody_study_exp7_01_20_2020_trial_02.wav
233,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A2FARB7LA24AU8_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A2FARB7LA24AU8_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A2FARB7LA24AU8_prosody_study_exp7_01_20_2020_trial_03.wav
67,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1I0DA5VWCA1FT_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A1I0DA5VWCA1FT_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A1I0DA5VWCA1FT_prosody_study_exp7_01_20_2020_trial_03.wav
422,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A3HCGNV93TJO7R_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A3HCGNV93TJO7R_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A3HCGNV93TJO7R_prosody_study_exp7_01_20_2020_trial_03.wav
171,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/AC5UD8N187QD6_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/AC5UD8N187QD6_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/AC5UD8N187QD6_prosody_study_exp7_01_20_2020_trial_03.wav
424,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1AYYDLZ60894L_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A1AYYDLZ60894L_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A1AYYDLZ60894L_prosody_study_exp7_01_20_2020_trial_03.wav
434,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1SLJKNSNHOJRN_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A1SLJKNSNHOJRN_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A1SLJKNSNHOJRN_prosody_study_exp7_01_20_2020_trial_03.wav
20,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A2NGMLBFZ3YQP5_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A2NGMLBFZ3YQP5_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A2NGMLBFZ3YQP5_prosody_study_exp7_01_20_2020_trial_03.wav
303,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1E235KE3CSO7H_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A1E235KE3CSO7H_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A1E235KE3CSO7H_prosody_study_exp7_01_20_2020_trial_03.wav
690,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A21P1T8EW4NHOU_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A21P1T8EW4NHOU_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A21P1T8EW4NHOU_prosody_study_exp7_01_20_2020_trial_03.wav
515,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1KX1CMLUCQNFX_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A1KX1CMLUCQNFX_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A1KX1CMLUCQNFX_prosody_study_exp7_01_20_2020_trial_03.wav
25,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1TP0SGMUSJ34B_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A1TP0SGMUSJ34B_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A1TP0SGMUSJ34B_prosody_study_exp7_01_20_2020_trial_03.wav
373,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A3HE8VNBXD2BR0_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A3HE8VNBXD2BR0_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A3HE8VNBXD2BR0_prosody_study_exp7_01_20_2020_trial_03.wav
445,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1PTH9KTRO06EG_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A1PTH9KTRO06EG_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A1PTH9KTRO06EG_prosody_study_exp7_01_20_2020_trial_03.wav
107,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/AFM65NU0UXIGP_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/AFM65NU0UXIGP_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/AFM65NU0UXIGP_prosody_study_exp7_01_20_2020_trial_03.wav
284,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A2JCK494NV7TFX_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A2JCK494NV7TFX_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A2JCK494NV7TFX_prosody_study_exp7_01_20_2020_trial_03.wav
454,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1Z8AOIDT5IV43_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A1Z8AOIDT5IV43_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A1Z8AOIDT5IV43_prosody_study_exp7_01_20_2020_trial_03.wav
682,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A1IAMNSZB9U4Z1_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A1IAMNSZB9U4Z1_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A1IAMNSZB9U4Z1_prosody_study_exp7_01_20_2020_trial_03.wav
697,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A3AHCT6Q7A3Q23_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A3AHCT6Q7A3Q23_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A3AHCT6Q7A3Q23_prosody_study_exp7_01_20_2020_trial_03.wav
48,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze/A3GLUDQZGEJL5G_prosody_study_exp7_01_20_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_textgrid/A3GLUDQZGEJL5G_prosody_study_exp7_01_20_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp7/responses_to_analyze_downsampled/A3GLUDQZGEJL5G_prosody_study_exp7_01_20_2020_trial_03.wav
